IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2020,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,160.6,,,136.5,,187.9,160.6 [136.5 – 187.9],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2020,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,39.96,,,37.39,,42.69,39.96 [37.39 – 42.69],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2020,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,,,,,,,No data,827,Not reported - Estimate is based on fewer than 125 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,111.6,,,94.77,,131,111.6 [94.77 – 131],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,121.1,,,107,,136.8,121.1 [107 – 136.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,126,,,109,,145.3,126 [109 – 145.3],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,133,,,114.1,,154.6,133 [114.1 – 154.6],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,134,,,125.6,,142.9,134 [125.6 – 142.9],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,145.3,,,130.2,,161.8,145.3 [130.2 – 161.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,152.9,,,137.7,,169.5,152.9 [137.7 – 169.5],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,154.6,,,141.5,,168.7,154.6 [141.5 – 168.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,157.7,,,132.1,,187.1,157.7 [132.1 – 187.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,158.8,,,152.7,,165.1,158.8 [152.7 – 165.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,160,,,135.3,,188.2,160 [135.3 – 188.2],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,163.4,,,152.7,,174.7,163.4 [152.7 – 174.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,165.7,,,152.5,,179.7,165.7 [152.5 – 179.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,PER,Peru,Year,2019,false,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,175,,,141.4,,214.7,175 [141.4 – 214.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,178.3,,,159.9,,198.3,178.3 [159.9 – 198.3],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,180.8,,,171.3,,190.7,180.8 [171.3 – 190.7],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_DHS,DHS,,183.3,,,165.8,,202.1,183.3 [165.8 – 202.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,185.1,,,151.3,,224.5,185.1 [151.3 – 224.5],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,194,,,169.8,,220.8,194 [169.8 – 220.8],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_DHS,DHS,,210,,,177.7,,246.5,210 [177.7 – 246.5],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,Education Level,Primary,PRLM,,,,,,,EQ_MICS,MICS,,213.8,,,173.2,,260.9,213.8 [173.2 – 260.9],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,22.81,,,18.94,,27.46,22.81 [18.94 – 27.46],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,226.2,,,165.7,,300.9,226.2 [165.7 – 300.9],,Attention - Estimate is based on 125-249 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Education Level,None,NHLM,,,,,,,EQ_MICS,MICS,,237.7,,,78.54,,532.9,237.7 [78.54 – 532.9],,Attention - Estimate is based on 125-249 cases,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_MICS,MICS,,27.49,,,22.14,,34.1,27.49 [22.14 – 34.1],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,27.57,,,19.16,,39.53,27.57 [19.16 – 39.53],,,EN,2022-05-25T23:00:00.000Z
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Education Level,Secondary or higher,SHLM,,,,,,,EQ_DHS,DHS,,28.18,,,23.39,,33.91,28.18 [23.39 – 33.91],,,EN,2022-05-25T23:00:00.000Z
