Entity,Code,Year,tfp,inputs,output,output_quantity,crop_output_quantity,animal_output_quantity,fish_output_quantity,ag_land_quantity,FactValueNumeric
Afghanistan,AFG,2015,100,100,100,5725663,3470126,2243261,12278,11530,106.2
Albania,ALB,2017,102.7701,101.1836,103.9865,2158853,1241556,897399,19898,938,81.88
Algeria,DZA,2018,106.4072,101.0009,107.4723,14982285,10264385,4701667,16234,18620,58.14
Angola,AGO,2015,100,100,100,5703756,4626835,1074972,1945,5657,237.4
Argentina,ARG,2012,87.3877,95.0079,83.0252,59299381,37237213,22052317,9847,45330,0
Armenia,ARM,2000,48.0992,89.8155,43.2005,890035,468526,418431,3077,953,57.37
Asia,OWID_ASI,2019,107.8327,101.261,109.1925,2024605889,1272029566,520187641,232388702,743819,0
Australia,AUS,1968,56.4566,87.1743,49.2156,20814930,6954482,13847543,12904,69533,0
Austria,AUT,1961,76.5977,105.8811,81.1025,4952358,2335707,2614439,2214,1925,0
Azerbaijan,AZE,2006,111.212,70.0358,77.8883,3396374,2037092,1357935,1346,4455,104
Bahamas,BHS,2009,90.1753,87.0425,78.4908,41459,26227,15144,87,14,0
Bahrain,BHR,1996,36.317,68.5775,24.9053,39321,24237,15070,14,13,0
Bangladesh,BGD,1999,75.4475,72.2087,54.4796,22372564,17719485,2943811,1709267,16004,216
Barbados,BRB,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,1962,76.9739,78.5362,60.4524,6801168,3201107,3593955,6106,7180,0
Belgium,BEL,2000,114.0891,84.128,95.9808,8966155,3285875,5673535,6748,940,0
Belize,BLZ,2015,100,100,100,284090,202578,51310,30201,124,139.7
Benin,BEN,2006,88.2539,72.5753,64.0506,2133492,1862959,269607,925,2245,170.6
Bhutan,BTN,2005,112.6809,99.3859,111.989,304921,177101,127707,114,257,0
Bolivia,BOL,2019,90.3885,117.5769,106.276,7062289,4091860,2958604,11819,6047,0
Bolivia (Plurinational State of),UNKNOWN,0,0,0,0,0,0,0,0,0,224.8
Bosnia and Herzegovina,BIH,2017,92.183,103.5261,95.4335,1346637,883298,446980,16359,1269,0
Botswana,BWA,1988,123.3648,51.635,63.6994,302789,60053,242736,0,732,0
Brazil,BRA,1996,51.4821,92.499,47.6204,108931807,59805442,48931653,194713,59241,286.6
Brunei,BRN,1964,9.326,141.7811,13.2225,9104,5971,3134,0,18,0
Bulgaria,BGR,1974,78.4817,187.9353,147.4948,7332033,4803254,2515598,13182,5261,0
Burkina Faso,BFA,2010,96.9648,95.4317,92.5352,3700144,2501896,1197753,494,7114,174.5
Burundi,BDI,2016,101.3588,107.1983,108.6549,1928595,1752062,173415,3122,1516,145.4
Cabo Verde,UNKNOWN,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,2014,94.9833,100.5608,95.516,6615956,5751841,594351,269763,4211,126.2
Cameroon,CMR,2011,95.1722,87.7929,83.5544,7832996,6765897,1065826,1273,6023,244.8
Canada,CAN,1986,65.1539,98.2136,63.99,29466984,17596361,11832587,38039,45473,0
Cape Verde,CPV,1989,113.962,63.4991,72.3648,43505,28838,14668,0,100,0
Caribbean,UNKNOWN,1988,92.14,90.4585,83.3484,18923038,12136933,6757964,28141,13254,0
Central Africa,UNKNOWN,2019,99.6807,108.2681,107.9224,24562824,21704608,2843185,15029,23313,0
Central African Republic,CAF,2018,107.0932,99.4446,106.4984,1492510,699878,792301,330,1077,229.2
Central America,UNKNOWN,2007,93.6244,91.671,85.8264,68180534,38787842,27884018,1508674,41387,0
Central Asia,UNKNOWN,2003,76.4993,79.1476,60.5473,23596192,13675091,9912564,8533,29507,0
Central Europe,UNKNOWN,1961,79.6739,105.1467,83.7745,67271327,41522409,25626835,122083,53916,0
