Entity,Year,ag_land_index,labor_index,capital_index,materials_index,crop_output_quantity,animal_output_quantity,fish_output_quantity
Afghanistan,1965,93.199,46.6948,270.9746,38.5949,1802740,1129491,0
Afghanistan,1970,94.3822,50.0561,418.9545,51.6695,1896709,1315483,159
Afghanistan,1975,95.0918,54.0793,414.2062,60.7651,2317239,1392279,159
Afghanistan,1980,95.689,54.274,332.6578,65.6658,2170896,1563580,429
Afghanistan,1985,96.368,46.2276,156.2952,66.8447,1862370,1341817,429
Afghanistan,1990,98.7106,45.6955,125.4275,49.8008,1630098,1553346,669
Afghanistan,1995,98.4186,67.3739,131.1078,40.1285,2172867,1969108,669
Afghanistan,2000,98.5991,77.0752,122.0561,36.4887,1863859,2271148,669
Afghanistan,2005,100.0,93.1624,111.0778,71.2004,2814442,2212106,1127
Afghanistan,2010,100.0087,91.0293,104.9996,87.2413,3249958,2269869,5389
Afghanistan,2015,100.0,100.0,100.0,100.0,3470126,2243261,12278
Albania,1965,74.9218,108.1115,55.4305,21.1434,308018,208813,0
Albania,1970,87.0285,115.6948,53.6002,36.7409,408265,236042,0
Albania,1975,94.4262,125.4171,59.0382,51.4635,496120,264895,190
Albania,1980,101.0686,134.3616,71.2033,63.2461,573874,338867,725
Albania,1985,103.7588,149.5283,73.4652,67.3961,640091,341250,2284
Albania,1990,104.4348,167.0284,84.026,69.6845,594627,452983,9307
Albania,1995,99.2843,142.8633,90.0061,58.9377,574000,712430,605
Albania,2000,99.1658,134.1876,85.2721,66.4702,607871,727189,840
Albania,2005,95.9822,115.5431,86.1168,69.6893,684000,797514,4356
Albania,2010,98.9058,100.3645,90.8041,89.8262,969386,797038,7728
Albania,2015,100.0,100.0,100.0,100.0,1170608,890267,15215
Algeria,1965,50.005,135.574,22.9479,5.9221,2788553,562434,0
Algeria,1970,50.2797,124.7281,30.9793,10.8901,2341878,736379,0
Algeria,1975,54.101,121.4105,34.2943,18.0453,2347955,948651,0
Algeria,1980,54.5161,113.8184,42.7823,28.7061,2039539,1162604,0
Algeria,1985,57.0406,117.8378,54.5691,50.3979,2558118,1588100,474
Algeria,1990,61.2913,116.0514,60.7643,40.8106,2204677,2158889,1072
Algeria,1995,67.9479,117.2077,61.4987,25.6155,2937196,2471168,960
Algeria,2000,70.4306,127.296,64.311,37.8396,2753283,2924747,960
Algeria,2005,79.7416,143.3547,70.0033,46.59,4967503,3316646,866
Algeria,2010,90.1727,108.164,78.1617,59.3199,6667463,3905829,4240
Algeria,2015,100.0,100.0,100.0,100.0,9049635,4887031,3940
Angola,1965,50.2658,20.8829,51.3594,62.665,1164515,298710,0
Angola,1970,52.0851,22.0467,72.8513,97.9072,1305783,358503,0
Angola,1975,49.2289,24.0834,86.7397,50.5877,1130539,417476,0
Angola,1980,44.058,27.0117,93.0055,69.1402,731477,419447,0
Angola,1985,44.8016,31.1226,100.4836,75.281,662649,472271,0
Angola,1990,43.7519,34.3888,95.2078,69.2372,671865,508254,0
Angola,1995,44.1224,39.9304,92.6118,62.2032,897229,514871,0
Angola,2000,48.1407,44.5911,95.7886,31.2086,1210864,737873,11
Angola,2005,73.1052,53.7672,84.9224,68.3845,2406005,766399,281
Angola,2010,92.7156,77.999,85.4014,111.369,4209462,918784,691
Angola,2015,100.0,100.0,100.0,100.0,4626835,1074972,1945
Argentina,1965,60.7821,134.812,46.1855,18.2478,9872039,13308908,24
Argentina,1970,73.7644,120.345,48.087,24.6382,11702634,16170062,89
Argentina,1975,74.1381,116.6695,52.7623,28.497,13423711,15670467,198
Argentina,1980,74.169,98.6523,50.7131,27.7255,14243229,17459958,423
Argentina,1985,76.5688,100.0519,55.3705,33.2736,17731991,17495023,1210
Argentina,1990,75.6308,105.0784,62.6968,29.4403,18173570,18275365,1411
Argentina,1995,77.0297,98.5347,61.0829,47.3657,22648274,18860992,7088
Argentina,2000,78.2782,91.922,62.0248,58.1074,27798547,19871193,6776
Argentina,2005,93.0663,88.9748,70.6716,77.0842,35541448,21712576,7795
Argentina,2010,103.4298,91.6858,84.7761,92.5301,39395517,21251925,9964
Argentina,2015,100.0,100.0,100.0,100.0,47713791,23697500,12057
Armenia,1965,110.7453,70.6077,77.8415,67.5309,354065,396632,0
Armenia,1970,111.6803,69.9332,99.987,104.7362,407485,478797,0
Armenia,1975,117.1804,73.4831,117.3985,146.98,432315,553819,0
Armenia,1980,115.5412,78.453,131.333,171.6789,521723,561253,0
Armenia,1985,120.8293,81.2766,140.5153,219.6789,665770,606986,0
Armenia,1990,122.3341,74.8906,128.5156,110.2384,420302,582401,12299
Armenia,1995,108.641,145.0312,90.4989,52.5035,560365,388281,3364
Armenia,2000,106.8485,148.9895,84.0749,53.9031,468526,418431,3077
Armenia,2005,107.4975,121.3093,84.4054,87.0243,865024,510595,2395
Armenia,2010,104.0137,120.7115,92.3847,71.7218,794025,588081,20280
Armenia,2015,100.0,100.0,100.0,100.0,1264033,731406,64801
Asia,1965,71.8002,81.7891,17.075,10.8642,267688600,58670824,3617393
Asia,1970,74.4441,91.7463,20.0287,15.3976,316811277,67765110,4811291
Asia,1975,78.6162,97.3001,23.2289,19.9235,356344156,81948271,6924914
Asia,1980,81.0514,101.0706,27.7134,30.1542,398725920,104856398,10072238
